"","logFC","logCPM","PValue","FDR"
"MME",-1.47748241256659,1.20281460110511,0.00250226062311213,0.22131629649576
"FLT1",-1.77701017650591,-0.0978359918572944,0.00278734453149724,0.243545778211088
"VPREB1",-1.61825360532949,2.09781611138079,0.00282882411130192,0.243545778211088
"FOXC1",-2.00228452882301,-0.574082903877454,0.00284018400246166,0.243545778211088
"GPM6B",-1.87470411332962,-0.632157099557598,0.00305720489224662,0.259201897408159
"ABCA13",-1.71573911539318,1.34115963489135,0.0030596256111608,0.259201897408159
"PDE3A",-1.8612714065931,-0.262722703777682,0.00317479527071238,0.267348178994181
"COL6A3",-2.48026736322353,-0.536912216013197,0.00327166201732252,0.273865374700039
"TTC28",-1.22387597835396,0.614415160975455,0.00334784364514727,0.278584172672816
"GNAZ",-1.09822626132668,1.38295717499494,0.00345152639243695,0.28552244504024
"CLCN2",-1.71108676693187,1.31042243997448,0.00364441223719838,0.299715609893104
"PDIA2",-2.57857796595092,-0.953997320406789,0.00375530300039362,0.307039686596136
"PXDN",-1.17290260496028,1.12075096620103,0.00381303788217747,0.309630308744877
"PLEKHA5",-1.20046461883403,0.457587009336499,0.00384079824845974,0.309630308744877
"LOC115941123",1.968869119557,0.158731890940958,0.00385304017850768,0.309630308744877
"CCDC9B",-1.11574308273963,1.63763709288749,0.00419108326116779,0.332989852552557
"FAT1",-1.88465803238556,-0.571748813193183,0.00428693156953748,0.338691677878683
"LOC118523577",5.33722666827793,0.464320770310248,0.00435395378675366,0.342065095548138
"MMP2",-1.2735911689577,1.68348064633657,0.00445130777930472,0.347770785002013
"NUCB2",-1.52676572852234,0.601588158554655,0.00453043232763096,0.351997070847924
"RTP5",-1.6894312140728,3.66621387725274,0.00461277536069292,0.356425603832003
"LOC118541218",-2.02490097620472,0.375986469813642,0.00499047344536207,0.379959952417451
"SP7",-2.38366737056013,-0.889027211454196,0.00501157136543063,0.379959952417451
"DAAM2",-2.08369851887158,-0.707567880915665,0.00502542495553196,0.379959952417451
"SYTL4",-1.75431346827348,0.307820408837673,0.00508872418428089,0.38200095366499
"LOC118527179",2.09839087409757,0.0036152674274305,0.00510674673177972,0.38200095366499
"PTPN14",-1.37134435379593,0.439714385720635,0.0051473877811509,0.383003779716006
"LOC116641749",4.56407817712276,1.95906402732146,0.00517587049684478,0.383096141037517
"CA1",-1.53986171586976,1.37308400958724,0.00533636635757139,0.392907435007992
"SPARCL1",-1.78770449311933,-0.481484481319955,0.00545025617637824,0.39709017337773
"POU1F1",-1.9166597807091,-0.173619351344319,0.00549139349736834,0.39709017337773
"ESR2",-1.36517405827633,1.18539980929492,0.00550400548269849,0.39709017337773
"TNN",-2.44628995408662,-0.715474258972378,0.00550612129763616,0.39709017337773
"INTU",-1.22134463184196,0.195766071912104,0.00555486265622695,0.398561395584284
"LOC118539716",-2.52586709550585,-0.993290266517429,0.00592584668255129,0.420884757054135
"LOC118527335",-1.34413503467197,-0.105105762086323,0.00597233142633495,0.422054758032907
"CADM3",-1.81442917781279,-0.47555443245078,0.00624773319285089,0.437536847079823
"LOC118527317",-3.22473561659031,-0.205532033004047,0.00625363764936674,0.437536847079823
"PDGFRA",-2.30046726329914,-0.753991816391949,0.00629956386209656,0.437853823414404
"AARE",6.93904006617101,1.26958147781529,0.00634838236605401,0.437853823414404
"NID2",-1.03352405687259,1.24768128042741,0.00635157363126918,0.437853823414404
"ECM2",-1.65991918669218,0.495818966293969,0.00648102304746507,0.44136427055745
"TSPAN8",-1.03730846047956,1.64484889981534,0.0064966510705676,0.44136427055745
"LOC118551000",-1.14772228096982,0.790302054579764,0.00659042716216318,0.444452496092238
"PADI3",-1.19270235146824,1.94392667333349,0.00660531690843189,0.444452496092238
"CDH5",-1.70551117220127,-0.488729794404738,0.006768156152403,0.450269397620604
"FERMT2",-2.21343970535571,-0.905617753768926,0.00678781997408576,0.450269397620604
"ADORA2B",-1.6311939985504,-0.45428085939932,0.00729743203761524,0.481801815704146
"ATP1B1",-1.19358768976488,1.54283580637815,0.00746789879042215,0.490321934788211
"ATP8B1",-1.40728337729978,-0.141118012730621,0.00750227788301264,0.490321934788211
"CCDC80",-1.45916155506195,1.00422704621063,0.00753107714671504,0.490321934788211
"ANLN",-1.20858437197015,2.24520160360413,0.00761191221145128,0.493301020413085
"LOC118542132",-2.2992189482134,-0.95998721612692,0.00806154358466204,0.520043520326157
"LOC118552543",1.71463740667081,0.254787989066997,0.00813783134954868,0.522567681592252
"SLC38A3",-2.0993621630822,-0.304495366976886,0.00826684627720277,0.528439359983193
"CHST13",2.45383685257447,0.0918983392578979,0.00832791343881438,0.529934147918763
"LGALS4",1.29938923044852,2.20791917544123,0.00848384727259859,0.537424973849342
"LOC118555803",1.51622706413755,4.29166759856869,0.00891138152770723,0.561976495175546
"KIT",-1.0674757109342,2.38056520756732,0.00922444354138003,0.576548220099677
"ECRG4",-2.17549108667122,-0.839000099965943,0.0093380857260336,0.580817827750387
"LOC118531952",-1.59658195374385,-0.530225957005391,0.00937535710014491,0.580817827750387
"ARHGAP23",-1.59725115619562,0.285778046099738,0.00946298686461753,0.583675369636475
"GPNMB",-1.65450151534252,0.680667161788718,0.00976015799036001,0.599375990473506
"RELL2",1.50701075634911,0.821473996088901,0.00991590634527298,0.603668359019801
"HOXA9",-1.60437993295979,-0.260982695122308,0.00997926167108409,0.60374472011256
"IGHE",-1.74375227102044,0.679808418467823,0.0100030235217398,0.60374472011256
"EIF1AX",-1.1326320215992,1.40098188696674,0.0104027345032171,0.625186561191206
"RECK",-1.08756166438921,1.35866853678115,0.0105118249120574,0.62905444143942
"ATP7B",-1.23992862903233,0.411265892688722,0.0107542712041277,0.638132134783327
"ANGPT1",-1.71637057046397,0.0371086165339213,0.0108089865057645,0.638683937943553
"PLEKHA4",2.30623461696188,0.371667829584109,0.0109231058871602,0.64084469103274
"MAP7D2",1.50780803706159,0.40150331279685,0.0110101196286831,0.642281495062372
"LIMA1",-1.39543307050165,0.212225554094383,0.0110869696658334,0.642281495062372
"CLU",-1.48798623940518,1.23746706167139,0.0110982296309576,0.642281495062372
"SERPING1",-2.2511478331489,0.150665595790723,0.011225061922564,0.646959204168104
"LOC118518225",-2.30935263030676,-0.605280116532405,0.0112902968825368,0.648063041057612
"CXADR",-1.31829567508721,-0.0354254664175968,0.0121750188438546,0.696005243907019
"MYRFL",-1.45561056445401,0.189080085321209,0.0124139144928109,0.703939030291936
"SEMA5A",-2.34335849392597,-0.670494547008316,0.0127611900903266,0.715319614896592
